@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4552,'2019/02/13 20:52:20:920',8,0,-0.007874,0.03937,0.007874,0.023622,-0.031496,0,-0.007874,-0.015748,-0.023622,-0.094488,-0.03937,-0.023622,-0.007874,-0.007874,0,-0.099365,-0.192383,-0.459656,0.861267,-0.431641,-0.767578,0.516113,-3.9375,-0.5,-3.1875,0,0
4553,'2019/02/13 20:52:20:951',8,-0.007874,-0.03937,0.007874,0,0,0.007874,0,-0.007874,-0.007874,-0.015748,-0.047244,-0.015748,0,-0.023622,0,0.007874,-0.099121,-0.191711,-0.460632,0.860962,-0.437988,-0.769043,0.513184,-2.9375,-1.1875,-2,0,0
4554,'2019/02/13 20:52:20:991',8,-0.007874,-0.023622,0.007874,-0.015748,-0.015748,-0.03937,-0.015748,0,0,-0.031496,-0.031496,0,0.015748,0.070866,-0.015748,-0.015748,-0.099121,-0.19104,-0.460815,0.860962,-0.437012,-0.762207,0.519043,-1.9375,-1.5,-1.6875,0,0
4555,'2019/02/13 20:52:21:019',8,-0.015748,-0.031496,0,0.007874,0,-0.007874,-0.015748,-0.007874,-0.015748,-0.015748,0.062992,-0.015748,-0.023622,0,-0.007874,-0.007874,-0.099182,-0.190674,-0.46106,0.860962,-0.433594,-0.769043,0.526367,-2.25,-1.6875,-1.5,0,0
4556,'2019/02/13 20:52:21:048',8,-0.007874,-0.007874,-0.03937,-0.007874,0,-0.023622,-0.007874,-0.015748,0.007874,-0.015748,0.031496,-0.015748,-0.015748,0,-0.015748,0,-0.099182,-0.18988,-0.461182,0.861084,-0.428711,-0.770996,0.523926,-0.375,-1.6875,-0.9375,0,0
4557,'2019/02/13 20:52:21:084',8,-0.007874,-0.023622,-0.015748,-0.015748,-0.007874,0.015748,0.007874,0,-0.007874,-0.023622,0.023622,0.007874,-0.007874,-0.007874,-0.007874,-0.007874,-0.099182,-0.189636,-0.460876,0.861267,-0.428711,-0.760254,0.52832,0.5625,-0.5625,-0.375,0,0
4558,'2019/02/13 20:52:21:123',8,0,-0.015748,0.031496,-0.007874,-0.031496,-0.023622,-0.015748,-0.007874,0,-0.023622,-0.023622,-0.023622,-0.015748,-0.03937,-0.015748,-0.007874,-0.099182,-0.189697,-0.460815,0.861267,-0.430664,-0.757813,0.526855,0.4375,-0.25,-0.25,0,0
4559,'2019/02/13 20:52:21:152',8,-0.007874,-0.015748,-0.015748,0,-0.007874,-0.031496,0,0,0,-0.015748,0.015748,-0.007874,-0.015748,-0.007874,-0.007874,-0.015748,-0.099243,-0.189697,-0.460754,0.861328,-0.427734,-0.768066,0.523438,-0.4375,0.375,-0.25,0,0
4560,'2019/02/13 20:52:21:195',8,0,-0.015748,-0.031496,-0.015748,0,-0.007874,0.007874,0,0.015748,0.007874,-0.023622,-0.007874,-0.007874,0.007874,0.023622,0.015748,-0.099182,-0.18988,-0.460632,0.861328,-0.425293,-0.77002,0.518555,0.1875,1.1875,0.375,0,0
4561,'2019/02/13 20:52:21:236',8,-0.023622,-0.023622,-0.007874,-0.023622,-0.015748,0,-0.023622,-0.023622,0,0,-0.015748,0.015748,0.015748,-0.047244,-0.015748,0,-0.099182,-0.190063,-0.460571,0.861328,-0.425781,-0.771484,0.520508,0.25,1.3125,0.625,0,0
4562,'2019/02/13 20:52:21:267',8,0.007874,-0.023622,-0.031496,-0.015748,0.007874,-0.015748,0.007874,0,0,-0.007874,0.007874,0,-0.007874,-0.007874,-0.023622,0,-0.099182,-0.190674,-0.460449,0.861267,-0.420898,-0.771973,0.519043,-0.4375,2,1.375,0,0
4563,'2019/02/13 20:52:21:297',8,-0.015748,-0.023622,-0.023622,-0.015748,0.015748,0,-0.007874,-0.023622,-0.015748,-0.023622,-0.086614,-0.015748,-0.007874,-0.015748,-0.015748,-0.007874,-0.099487,-0.191589,-0.460083,0.861206,-0.429688,-0.758301,0.510742,0.5625,1.9375,2.1875,0,0
4564,'2019/02/13 20:52:21:320',8,-0.007874,0,0.047244,0.015748,-0.015748,0,0.007874,0,0,-0.031496,-0.023622,-0.031496,0,0,-0.007874,-0.015748,-0.099731,-0.192078,-0.460144,0.861084,-0.430176,-0.758789,0.508301,-0.75,1.6875,2.5,0,0
4565,'2019/02/13 20:52:21:351',8,-0.007874,-0.023622,-0.149606,-0.007874,-0.023622,-0.007874,0.007874,-0.007874,0,0,0.086614,0.015748,0.007874,0,0.015748,0,-0.100159,-0.192871,-0.459778,0.861023,-0.426758,-0.753418,0.51709,0.6875,1.625,2,0,0
